site_name,latitude,longitude,percent_developed_1km,percent_developed_3km,percent_developed_5km,percent_agricultural_1km,percent_agricultural_3km,percent_agricultural_5km
Waddell,37.0951311,-122.2780882,0.15126050420168066,0.06228514828409951,0.03797312544876398,0,0.0021558002680184115,0.012473074161452458
Scotts,37.036483,-122.228197,0.11151641479937467,0.047294764463326255,0.0493457683741648,0.01146430432516936,0.006497563413719854,0.0032479584261321448
Bonny Doon,36.9994754,-122.1809596,0.083596214511041,0.06388436991615566,0.04731358900868933,0.029442691903259724,0.016706294581404078,0.02229197943678632
Panther,36.9930379,-122.1696308,0.05571428571428572,0.045172084130019115,0.04635776342169748,0.10333333333333333,0.045351338432122364,0.03316997104032079
Laguna,36.9834736,-122.1550692,0.0767148014440433,0.03796936016821868,0.037641980917764654,0.24007220216606498,0.0806848903574647,0.04579736483416629
Four Mile,36.9665608,-122.1222113,0.05675675675675675,0.03797919762258544,0.02964186569389955,0.3144144144144144,0.1360475482912333,0.09087571982471836
Three Mile,36.9614504,-122.1119016,0.0704697986577181,0.03689187507776534,0.06986806639239607,0.397411313518696,0.14321264153291033,0.0958291956305859
Strawberry,36.9564508,-122.1022023,0.05666666666666665,0.043208209559816364,0.14569635759106023,0.49444444444444435,0.18890089116932218,0.09599760005999851
Sand Plant,36.9549815,-122.091125,0.09559559559559559,0.09041044070361262,0.2327941105245314,0.3613613613613614,0.17886640186621272,0.08727660192764082
Natural Bridges,36.9508769,-122.0573367,0.7444134078212291,0.5702362609142271,0.4855709227987061,0.08519553072625699,0.10362095531587057,0.06609612592649194
Seabright 1,36.9639347,-122.0114063,0.9327442317133038,0.9654661558109833,0.789262620642017,0,0,0.006677283803749257
Seabright 2,36.9633012,-122.0037793,0.9202072538860103,0.9631704095112286,0.829617673761727,0,0,0.0019166750731362857
New Brighton,36.9786367,-121.9348389,0.7828096118299446,0.7913728946337641,0.6270140555365102,0.004158964879852126,4.406580493537015e-4,8.570449091532398e-4
Seacliff,36.9724327,-121.9144615,0.9653906659674881,0.7221780604133545,0.5776631917199118,0,0.0014194867136043605,0.0019616634906400626
Twin Lakes,36.9613978,-121.9965978,0.907163323782235,0.9614389842464144,0.8678566700498654,0,0,0
Blacks,36.9605432,-121.9930337,0.9261904761904762,0.959501949440322,0.8798834223856776,0,0,0
Younger,36.949356,-122.067038,0.34704830053667257,0.41776524497708845,0.4171093020152142,0.43231961836613,0.1349312654212196,0.07705858801548113
