site_name,latitude,longitude,percent_developed_1km,percent_developed_3km,percent_developed_5km,percent_agricultural_1km,percent_agricultural_3km,percent_agricultural_5km,human_visitors_per_day,domestic_dog_visitors_per_day,n_fish_deployed,n_removed,n_partially_scavenged,kg_deployed,kg_consumed,proportion_removed,american_crow,domestic_dog,coyote,deer_mouse,common_raven,gray_fox,domestic_cat,rat,striped_skunk,raccoon,western_gull,virginia_opossum,richness,diversity
Waddell,37.0951311,-122.2780882,0.15126050420168066,0.06228514828409951,0.03797312544876398,0,0.00215580026801841,0.01247307416145245,0,0,6,1,3,1.1305789822,0.35641800680999997,0.31525263818052246,0,0,0,2,1,0,0,0,0,0,0,0,2,0.6365141682948128
Scotts,37.036483,-122.228197,0.11151641479937469,0.04729476446332625,0.0493457683741648,0.01146430432516936,0.00649756341371985,0.00324795842613214,0,0,9,9,0,1.2534117961000002,1.2534117961000002,1,0,0,0,1,2,0,0,0,0,0,0,0,2,0.6365141682948128
Bonny Doon,36.9994754,-122.1809596,0.083596214511041,0.06388436991615566,0.04731358900868933,0.02944269190325972,0.01670629458140407,0.02229197943678632,1.3528748590755353,4.735062006764374,12,3,5,1.5437666632,0.45958666317999997,0.2977047465368534,0,2,1,3,0,0,0,0,0,0,0,0,3,1.0114042647073518
Panther,36.9930379,-122.1696308,0.05571428571428572,0.04517208413001911,0.04635776342169748,0.10333333333333332,0.04535133843212236,0.03316997104032079,2.1075055492767647,0,9,4,3,1.1772895534,0.5378353613010001,0.45684204004676426,0,0,0,2,1,0,0,0,0,0,0,0,2,0.6365141682948128
Laguna,36.9834736,-122.1550692,0.0767148014440433,0.03796936016821868,0.03764198091776465,0.24007220216606495,0.0806848903574647,0.04579736483416629,1.1783937760233496,0,8,6,1,1.0353926234000002,0.9189926233600001,0.8875788783797124,0,0,1,2,1,0,0,0,0,0,0,0,3,1.0397207708399179
Four Mile,36.9665608,-122.1222113,0.05675675675675675,0.03797919762258544,0.02964186569389955,0.3144144144144144,0.1360475482912333,0.09087571982471836,2.6783845992885538,1.3391922996442769,12,6,1,1.5922010588,0.8439398226,0.5300460126788605,1,1,1,2,1,0,0,0,0,0,0,0,5,1.5607104090414063
Three Mile,36.9614504,-122.1119016,0.0704697986577181,0.03689187507776534,0.06986806639239607,0.397411313518696,0.14321264153291033,0.0958291956305859,19.217008156644386,4.638588175741749,12,7,0,1.6381999999999999,0.9369700000000001,0.5719509217433769,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Strawberry,36.9564508,-122.1022023,0.05666666666666665,0.04320820955981636,0.14569635759106023,0.4944444444444443,0.18890089116932215,0.09599760005999852,6.319138432283191,3.1595692161415956,8,0,0,1.1239700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sand Plant,36.9549815,-122.091125,0.0955955955955956,0.09041044070361262,0.2327941105245314,0.3613613613613614,0.17886640186621272,0.08727660192764082,2.655091614489302,0,10,3,1,1.50395,0.40722,0.27076698028524887,0,0,0,1,1,0,0,0,0,0,0,0,2,0.6931471805599453
Natural Bridges,36.9508769,-122.0573367,0.7444134078212291,0.5702362609142271,0.4855709227987061,0.08519553072625699,0.10362095531587057,0.06609612592649194,161.34986236590868,0,12,7,4,1.6359067183000002,1.0786567183,0.6593632181062973,2,0,1,0,2,1,0,0,0,0,0,0,4,1.3296613488547582
Seabright 1,36.9639347,-122.0114063,0.9327442317133038,0.9654661558109832,0.789262620642017,0,0,0.00667728380374925,4.055869921116304,1.858940380511639,8,6,0,1.0799807535,1.0799807535,1,1,1,0,0,0,0,0,1,0,0,0,0,3,1.0986122886681096
Seabright 2,36.9633012,-122.0037793,0.9202072538860104,0.9631704095112286,0.829617673761727,0,0,0.00191667507313628,2.0307968938679455,1.0153984469339727,8,7,1,1.0518807061000002,0.9216707060770001,0.8762121985241345,2,1,0,0,0,0,0,0,0,1,0,0,3,1.0397207708399179
New Brighton,36.9786367,-121.9348389,0.7828096118299446,0.7913728946337641,0.6270140555365102,0.00415896487985212,4.406580493537015e-4,8.570449091532398e-4,78.09539736958416,23.738248539653338,11,5,0,1.32476,0.6967800000000001,0.5259669676016788,0,0,0,0,1,0,1,1,1,0,0,0,4,1.3862943611198906
Seacliff,36.9724327,-121.9144615,0.965390665967488,0.7221780604133545,0.5776631917199118,0,0.00141948671360436,0.00196166349064006,25.08317117569519,6.1013119076015325,10,7,0,1.33519,0.93218,0.6981628082894569,2,1,0,0,2,0,0,1,0,0,1,0,5,1.5498260458782016
Twin Lakes,36.9613978,-121.9965978,0.907163323782235,0.9614389842464144,0.8678566700498654,0,0,0,18.62039512187406,14.349662295756158,12,6,1,1.5801297752,1.02944,0.6514907928177619,1,0,0,0,0,0,0,0,0,0,2,0,2,0.6365141682948128
Blacks,36.9605432,-121.9930337,0.9261904761904762,0.959501949440322,0.8798834223856776,0,0,0,65.62093124186248,20.08804017608035,8,4,0,1.0058245375000001,0.5154799999999999,0.5124949539223186,1,1,0,0,0,0,0,0,0,0,0,0,2,0.6931471805599453
Younger,36.949356,-122.067038,0.34704830053667257,0.4177652449770885,0.4171093020152142,0.43231961836613,0.1349312654212196,0.07705858801548113,0,0,11,10,0,1.34666,1.23104,0.9141431393224718,0,0,1,2,2,0,0,0,0,0,0,1,4,1.3296613488547582
